Student_ID,Branch,Python_Score,SQL_Score,Aptitude_Score,Communication_Score,Projects_Completed,Mock_Interviews_Attended
S0001,ECE,38,46,46,51,5,5
S0002,ECE,73,79,96,47,3,4
S0003,ECE,66,38,50,56,2,3
S0004,ECE,78,72,72,59,2,3
S0005,ECE,59,58,65,43,0,3
S0006,CSE,68,59,59,55,2,5
S0007,IT,38,41,25,32,1,1
S0008,CSE,88,81,56,57,3,6
S0009,MECH,67,64,60,50,4,3
S0010,ECE,45,37,40,48,1,4
S0011,IT,95,63,45,40,3,0
S0012,ECE,41,64,57,64,4,2
S0013,ECE,31,9,8,35,0,0
S0014,CSE,56,53,55,47,2,2
S0015,ECE,58,72,69,55,0,4
S0016,IT,78,63,74,43,4,1
S0017,IT,60,41,65,5,0,5
S0018,IT,75,86,58,63,2,0
S0019,CSE,69,77,61,83,4,3
S0020,CSE,92,100,94,100,4,4
S0021,CSE,77,69,58,43,3,3
S0022,CSE,100,92,71,67,4,3
S0023,CSE,90,79,64,60,3,4
S0024,CSE,63,52,47,38,1,1
S0025,CSE,76,44,53,45,2,1
S0026,CSE,43,59,44,34,3,1
S0027,ECE,70,78,98,66,6,6
S0028,MECH,60,52,60,6,0,4
S0029,ECE,59,44,38,35,4,1
S0030,CSE,76,61,61,50,3,3
S0031,MECH,62,35,59,38,3,3
S0032,CSE,68,68,82,56,3,6
S0033,IT,84,93,66,78,6,2
S0034,CSE,44,45,56,33,2,4
S0035,CSE,86,70,36,36,3,2
S0036,CSE,64,65,54,31,3,7
S0037,IT,65,55,47,35,2,1
S0038,CSE,84,89,69,52,3,3
S0039,ECE,64,70,94,60,3,4
S0040,IT,73,63,60,58,4,1
S0041,CSE,66,100,68,57,2,4
S0042,ECE,67,54,53,20,2,3
S0043,ECE,47,66,53,29,2,4
S0044,ECE,62,54,45,44,4,3
S0045,CSE,77,57,72,43,3,2
S0046,ECE,58,90,72,52,3,0
S0047,CSE,72,87,54,70,3,6
S0048,CSE,68,60,53,13,1,1
S0049,MECH,39,48,23,44,3,3
S0050,MECH,57,64,60,50,3,5
S0051,CSE,78,74,59,23,3,2
S0052,MECH,82,82,85,79,3,3
S0053,CSE,39,55,40,18,1,2
S0054,MECH,72,69,68,56,4,3
S0055,CSE,38,53,46,48,1,3
S0056,CSE,33,9,34,23,0,3
S0057,CSE,56,55,44,24,3,1
S0058,IT,80,69,46,42,4,3
S0059,ECE,100,100,100,100,6,7
S0060,ECE,84,61,87,38,2,6
S0061,CSE,83,70,64,60,2,6
S0062,CSE,66,65,65,23,3,0
S0063,ECE,46,63,73,53,2,4
S0064,CSE,60,78,54,37,3,3
S0065,IT,82,74,88,58,2,3
S0066,CSE,63,54,56,57,4,3
S0067,IT,97,68,68,56,3,3
S0068,CSE,72,73,88,57,2,4
S0069,CSE,74,68,49,55,2,4
S0070,CSE,78,62,52,59,3,4
S0071,ECE,61,89,96,41,2,5
S0072,ECE,61,60,66,79,1,6
S0073,ECE,57,65,68,66,3,3
S0074,ECE,45,32,44,15,2,0
S0075,CSE,70,46,76,49,4,4
S0076,IT,86,77,75,78,4,4
S0077,CSE,63,55,51,17,3,2
S0078,CSE,90,82,81,80,4,4
S0079,ECE,59,49,41,16,2,3
S0080,CSE,39,48,29,57,0,3
S0081,MECH,50,59,19,37,3,5
S0082,MECH,89,60,90,73,4,7
S0083,MECH,42,49,52,13,2,6
S0084,CSE,59,54,47,35,2,2
S0085,ECE,75,66,100,65,4,1
S0086,CSE,74,79,72,42,2,0
S0087,CSE,65,31,38,54,2,4
S0088,ECE,62,38,35,51,5,2
S0089,ECE,49,61,46,42,1,2
S0090,MECH,34,42,29,14,2,1
S0091,MECH,38,42,46,19,4,2
S0092,ECE,65,54,66,19,2,0
S0093,MECH,40,57,67,53,1,7
S0094,CSE,67,60,55,45,5,5
S0095,IT,58,45,44,41,3,3
S0096,CSE,46,15,22,10,1,4
S0097,CSE,57,35,41,39,3,0
S0098,ECE,37,24,26,0,0,0
S0099,CSE,18,8,26,0,2,0
S0100,ECE,46,24,34,22,1,0
S0101,CSE,32,24,4,16,0,0
S0102,CSE,75,81,81,90,5,2
S0103,IT,76,80,67,51,4,5
S0104,IT,60,21,49,62,3,4
S0105,ECE,83,85,66,37,3,2
S0106,ECE,63,83,59,53,3,6
S0107,ECE,44,49,61,46,4,5
S0108,MECH,76,96,54,74,4,4
S0109,ECE,64,60,69,56,2,5
S0110,CSE,81,93,56,70,6,3
S0111,CSE,29,76,36,17,4,2
S0112,CSE,64,44,62,71,2,2
S0113,ECE,77,64,62,64,4,1
S0114,CSE,66,61,50,27,2,1
S0115,CSE,50,26,24,14,4,1
S0116,IT,79,66,55,60,2,4
S0117,IT,80,88,48,35,5,1
S0118,CSE,73,100,92,64,5,2
S0119,IT,70,82,59,31,2,2
S0120,MECH,94,54,78,49,3,9
