Student_ID,Aptitude_Score,DSA_Score,GitHub_Score,Communication_Score,Resume_Score
1,25,4,100,60,3
2,25,43,31,17,6
3,90,90,83,71,26
4,38,29,39,38,74
5,88,57,7,65,55
6,37,51,8,33,20
7,55,31,86,19,73
8,55,52,31,20,48
9,70,41,87,64,98
10,20,79,75,4,83
11,57,14,71,14,51
12,65,21,25,56,82
13,7,14,94,5,79
14,29,44,61,0,66
15,17,45,38,38,82
16,62,66,0,41,77
17,91,59,86,4,86
18,67,53,73,66,5
19,59,84,94,81,100
20,24,100,91,13,55
21,90,6,35,31,43
22,39,59,29,72,56
23,64,84,44,19,24
24,62,73,54,9,51
25,82,64,24,12,60
26,99,2,45,37,75
27,27,56,41,65,89
28,92,90,51,14,74
29,4,79,27,69,0
30,11,63,26,44,85
31,75,20,81,36,92
32,91,78,28,2,81
33,84,5,53,78,48
34,57,29,97,15,92
35,75,11,35,100,95
36,27,39,92,48,49
37,68,17,23,50,38
38,89,90,79,63,29
39,31,52,61,73,20
40,21,64,27,43,7
41,16,79,70,13,75
42,83,38,95,83,21
43,55,12,69,66,92
44,76,30,70,34,39
45,84,32,55,81,73
46,97,25,46,76,88
47,66,71,92,15,48
48,31,56,41,47,9
49,13,80,89,34,13
50,47,21,69,9,10
51,41,87,90,50,93
52,22,91,93,72,38
53,50,86,16,78,98
54,72,21,23,41,63
55,4,27,59,80,48
56,84,47,13,61,49
57,82,87,54,93,60
58,0,51,65,28,76
59,85,43,81,75,28
60,99,8,53,41,31
